HAddress,HAttractions,HGFW,HImages,HLanguage,HMail,HName,HPMax,HPMin,HPRange,HQuestions,HRImages,HRNumber,HRank,HRankreview,HRating,HRestaurants,HReview,HRoom,HStyles,HTel,HVideos,URL
"40, Block N, Star Hill Area, Street C, Phu My Hung, Tan Phu, District 7, Ho Chi Minh City 700000 Vietnam",5,48,NA,,,Anneta Apartment,11,Vietnam,"Vietnam,Ho Chi Minh City,11","Which popular attractions are close to Anneta Apartment?, ,What are some of the property amenities at Anneta Apartment?, ,What food & drink options are available at Anneta Apartment?, ,Is parking available at Anneta Apartment?, ,What are some restaurants close to Anneta Apartment?, ,Are there opportunities to exercise at Anneta Apartment?, ,Does Anneta Apartment have airport transportation?, ",NA,NA,"#629 of 1,555 hotels in Ho Chi Minh City",NA,NA,68,NA,11,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g293925-d17695788-Reviews-Anneta_Apartment-Ho_Chi_Minh_City.html
"11 Lot 5, Hai Trung Town, Long Hai Vietnam",NA,NA,NA,,,Long Tien Motel,Long Hai,Vietnam,"Vietnam,Ba Ria-Vung Tau Province,Long Hai","What are some of the property amenities at Long Tien Motel?, ,What food & drink options are available at Long Tien Motel?, ,Is parking available at Long Tien Motel?, ",NA,NA,NA,NA,NA,NA,NA,12,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g635528-d12843277-Reviews-Long_Tien_Motel-Long_Hai_Ba_Ria_Vung_Tau_Province.html
"18 Street 01, Tan Phu Ward, District 7, Ho Chi Minh City Vietnam",6,48,NA,,,RedDoorz near FV Hospital 2,$20,$13,"$13, - ,$20","Which popular attractions are close to RedDoorz near FV Hospital 2?, ,What are some restaurants close to RedDoorz near FV Hospital 2?, ",NA,NA,NA,NA,NA,67,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g293925-d23522122-Reviews-RedDoorz_near_FV_Hospital_2-Ho_Chi_Minh_City.html
"17 Tan Thuan Tay, Ho Chi Minh City Vietnam",NA,NA,NA,,,Khach San Binh an Binh,NA,Vietnam,"Vietnam,Ho Chi Minh City","Which popular attractions are close to Khach San Binh an Binh?, ,What are some restaurants close to Khach San Binh an Binh?, ",NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g293925-d19363045-Reviews-Khach_San_Binh_an_Binh-Ho_Chi_Minh_City.html
"107 Trieu Viet Vuong, Ward 3, Da Lat 670000 Vietnam",3,40,4,"English, Vietnamese",,Stillus Boutique Hotel _ Dalat,Da Lat,Vietnam,"Vietnam,Lam Dong Province,Da Lat","Which popular attractions are close to Stillus Boutique Hotel _ Dalat?, ,What are some of the property amenities at Stillus Boutique Hotel _ Dalat?, ,Which room amenities are available at Stillus Boutique Hotel _ Dalat?, ,What food & drink options are available at Stillus Boutique Hotel _ Dalat?, ,Is parking available at Stillus Boutique Hotel _ Dalat?, ,What are some restaurants close to Stillus Boutique Hotel _ Dalat?, ,Does Stillus Boutique Hotel _ Dalat have airport transportation?, ,Does Stillus Boutique Hotel _ Dalat offer any business services?, ,Which languages are spoken by the staff at Stillus Boutique Hotel _ Dalat?, ,Are there any historical sites close to Stillus Boutique Hotel _ Dalat?, ",68,1,#83 of 819 hotels in Da Lat,50,NA,12,Excellent,50,NA,,68,https://www.tripadvisor.com/Hotel_Review-g293922-d22982160-Reviews-Stillus_Boutique_Hotel_Dalat-Da_Lat_Lam_Dong_Province.html
"76 Tr_n Hung D_o, H_i C_ng, Quy Nhon 5900 Vietnam",2,42,1,,,Altara Serviced Residences Quy Nhon,Quy Nhon,Vietnam,"Vietnam,Binh Dinh Province,Quy Nhon","Which popular attractions are close to Altara Serviced Residences Quy Nhon?, ,What are some restaurants close to Altara Serviced Residences Quy Nhon?, ",12,4,#15 of 203 hotels in Quy Nhon,50,NA,24,Excellent,156,NA,,6,https://www.tripadvisor.com/Hotel_Review-g608528-d23635790-Reviews-Altara_Serviced_Residences_Quy_Nhon-Quy_Nhon_Binh_Dinh_Province.html
"2 Duong Tan My, Ho Chi Minh City Vietnam",6,45,NA,,,Tan My Hotel,NA,Vietnam,"Vietnam,Ho Chi Minh City","Which popular attractions are close to Tan My Hotel?, ,What are some restaurants close to Tan My Hotel?, ",NA,NA,NA,NA,NA,81,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g293925-d21181182-Reviews-Tan_My_Hotel-Ho_Chi_Minh_City.html
"27E Le Hong Phong St, Ward 4, Da Lat 670000 Vietnam",4,67,NA,,,Dalat Maya Hotel,Da Lat,Vietnam,"Vietnam,Lam Dong Province,Da Lat","Which popular attractions are close to Dalat Maya Hotel?, ,What are some restaurants close to Dalat Maya Hotel?, ",NA,1,#87 of 819 hotels in Da Lat,50,NA,14,Excellent,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g293922-d21390363-Reviews-Dalat_Maya_Hotel-Da_Lat_Lam_Dong_Province.html
"73 Du_ng An Binh, Phu_ng 3, Da Lat Vietnam",2,42,NA,,,Homestay Tokyo Da Lạt,Da Lat,Vietnam,"Vietnam,Lam Dong Province,Da Lat","Which popular attractions are close to Homestay Tokyo Đà Lạt?, ,What are some restaurants close to Homestay Tokyo Đà Lạt?, ",NA,NA,NA,NA,NA,19,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g293922-d23366969-Reviews-Homestay_Tokyo_Da_L_t-Da_Lat_Lam_Dong_Province.html
"07 Duong Trieu Viet Vuong, Phuong 4, Da Lat Vietnam",2,67,NA,,,Morning Coffee Hotel,Da Lat,Vietnam,"Vietnam,Lam Dong Province,Da Lat","Which popular attractions are close to Morning Coffee Hotel?, ,What are some restaurants close to Morning Coffee Hotel?, ",NA,NA,NA,NA,NA,11,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g293922-d23269441-Reviews-Morning_Coffee_Hotel-Da_Lat_Lam_Dong_Province.html
"Land plot No. 219 TBD 41 Alley 27 Le Hong Phong street, Ward 4, Dalat City, Da Lat Vietnam",4,68,NA,,,Q House Dalat,Da Lat,Vietnam,"Vietnam,Lam Dong Province,Da Lat","Which popular attractions are close to Q House Dalat?, ,What are some restaurants close to Q House Dalat?, ",NA,NA,NA,NA,NA,16,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g293922-d23271790-Reviews-Q_House_Dalat-Da_Lat_Lam_Dong_Province.html
"06 Ngo Thi Sy, Phuong 4, Da Lat 67000 Vietnam",4,68,NA,"English, Vietnamese",,The Mist Dalat,Da Lat,Vietnam,"Vietnam,Lam Dong Province,Da Lat","Which popular attractions are close to The Mist Dalat?, ,What are some of the property amenities at The Mist Dalat?, ,Which room amenities are available at The Mist Dalat?, ,What food & drink options are available at The Mist Dalat?, ,Is parking available at The Mist Dalat?, ,What are some restaurants close to The Mist Dalat?, ,Does The Mist Dalat have airport transportation?, ,Are any cleaning services offered at The Mist Dalat?, ,Which languages are spoken by the staff at The Mist Dalat?, ,Are there any historical sites close to The Mist Dalat?, ",NA,NA,NA,NA,NA,16,NA,15,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g293922-d21207634-Reviews-The_Mist_Dalat-Da_Lat_Lam_Dong_Province.html
"39 An Binh street, ward 3, Da Lat Vietnam",4,41,NA,,,RedDoorz Premium near Dinh III Bao Dai,Da Lat,Vietnam,"Vietnam,Lam Dong Province,Da Lat","Which popular attractions are close to RedDoorz Premium near Dinh III Bao Dai?, ,What are some restaurants close to RedDoorz Premium near Dinh III Bao Dai?, ",NA,NA,NA,NA,NA,25,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g293922-d23335103-Reviews-RedDoorz_Premium_near_Dinh_III_Bao_Dai-Da_Lat_Lam_Dong_Province.html
"Lang Hoa V_n Thanh Phuong 5, Thanh pho Da Lạt,, Da Lat Vietnam",NA,NA,NA,,,Chang's Village,Da Lat,Vietnam,"Vietnam,Lam Dong Province,Da Lat","Which popular attractions are close to Chang's Village?, ,What are some restaurants close to Chang's Village?, ",NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g293922-d23316276-Reviews-Chang_s_Village-Da_Lat_Lam_Dong_Province.html
"539 Tran Hung Dao, Soc Trang Vietnam",NA,NA,NA,,,Thien An Hotel,Soc Trang Province,Vietnam,"Vietnam,Mekong Delta,Soc Trang Province","Which popular attractions are close to Thien An Hotel?, ,What are some restaurants close to Thien An Hotel?, ",NA,2,#1 of 6 hotels in Soc Trang,40,NA,NA,Very good,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g469420-d21174245-Reviews-Thien_An_Hotel-Soc_Trang_Soc_Trang_Province_Mekong_Delta.html
"17 Duong Huynh Thuc Khang, Da Lat Vietnam",5,79,NA,,,Mia Boutique Hotel Da Lat,Da Lat,Vietnam,"Vietnam,Lam Dong Province,Da Lat","Which popular attractions are close to Mia Boutique Hotel Da Lat?, ,What are some restaurants close to Mia Boutique Hotel Da Lat?, ,Is Mia Boutique Hotel Da Lat located near the city center?, ",NA,NA,NA,NA,NA,36,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g293922-d23369430-Reviews-Mia_Boutique_Hotel_Da_Lat-Da_Lat_Lam_Dong_Province.html
"68 An Binh, Phu_ng 3, Da Lat Vietnam",4,44,NA,,,Homestay Hoa Son,$57,$54,"$54, - ,$57","Which popular attractions are close to Homestay Hoa Son?, ,What are some restaurants close to Homestay Hoa Son?, ",NA,NA,NA,NA,NA,30,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g293922-d21370534-Reviews-Homestay_Hoa_Son-Da_Lat_Lam_Dong_Province.html
"1 Nguyen Viet Xuan, Lake View, Da Lat Vietnam",5,75,NA,,,Nguyen Viet Xuan Villa,Da Lat,Vietnam,"Vietnam,Lam Dong Province,Da Lat","Which popular attractions are close to Nguyen Viet Xuan Villa?, ,What are some restaurants close to Nguyen Viet Xuan Villa?, ,Is Nguyen Viet Xuan Villa located near the city center?, ",NA,NA,NA,NA,NA,31,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g293922-d7261577-Reviews-Nguyen_Viet_Xuan_Villa-Da_Lat_Lam_Dong_Province.html
"01 Nguy_n Trung Tr_c, Phu_ng 4 Dalat City Center, Da Lat Vietnam",8,59,NA,,,Flora Villa,Da Lat,Vietnam,"Vietnam,Lam Dong Province,Da Lat","Which popular attractions are close to Flora Villa?, ,What are some restaurants close to Flora Villa?, ",NA,NA,NA,NA,NA,74,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g293922-d21391169-Reviews-Flora_Villa-Da_Lat_Lam_Dong_Province.html
"143A Ba Dieu Hamlet, Ca Mau Vietnam",NA,NA,NA,,,Uncle Thoong Motel,Ca Mau Province,Vietnam,"Vietnam,Mekong Delta,Ca Mau Province","Which popular attractions are close to Uncle Thoong Motel?, ,What are some of the property amenities at Uncle Thoong Motel?, ,Which room amenities are available at Uncle Thoong Motel?, ,Is parking available at Uncle Thoong Motel?, ,What are some restaurants close to Uncle Thoong Motel?, ",NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g1568668-d9768743-Reviews-Uncle_Thoong_Motel-Ca_Mau_Ca_Mau_Province_Mekong_Delta.html
"88 Nguyen Trung Truc, Phuong 4, Da Lat Vietnam",8,59,NA,,,Homestay Ahihi,Da Lat,Vietnam,"Vietnam,Lam Dong Province,Da Lat","Which popular attractions are close to Homestay Ahihi?, ,What are some restaurants close to Homestay Ahihi?, ",NA,NA,NA,NA,NA,97,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g293922-d21396317-Reviews-Homestay_Ahihi-Da_Lat_Lam_Dong_Province.html
"S_ 128 Nguy_n Trung Tr_c, Phu_ng 2 Thành phố Sóc Trăng, Soc Trang 96106 Vietnam",7,40,NA,,,Cong Ty Cổ Phần Quốc Tế Satraco,Soc Trang Province,Vietnam,"Vietnam,Mekong Delta,Soc Trang Province","Which popular attractions are close to Công Ty Cổ Phần Quốc Tế Satraco?, ,What are some restaurants close to Công Ty Cổ Phần Quốc Tế Satraco?, ,Is Công Ty Cổ Phần Quốc Tế Satraco located near the city center?, ",NA,NA,NA,NA,NA,9,NA,40,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g469420-d23357971-Reviews-Cong_Ty_C_Ph_n_Qu_c_T_Satraco-Soc_Trang_Soc_Trang_Province_Mekong_Delta.html
"229 Hung Vuong Ward 7, Ca Mau Vietnam",NA,NA,NA,,,Hai Chau Hotel,Ca Mau Province,Vietnam,"Vietnam,Mekong Delta,Ca Mau Province","Which popular attractions are close to Hai Chau Hotel?, ,What are some restaurants close to Hai Chau Hotel?, ",NA,3,#4 of 15 B&Bs / Inns in Ca Mau,35,NA,NA,Very good,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g1568668-d7193759-Reviews-Hai_Chau_Hotel-Ca_Mau_Ca_Mau_Province_Mekong_Delta.html
"MG2 - 19,20,23,24 Khu Do Th_ Vincom. Phu_ng 1, Ca Mau 98000 Vietnam",NA,NA,NA,,,The One Hotel,Ca Mau Province,Vietnam,"Vietnam,Mekong Delta,Ca Mau Province","Which popular attractions are close to The One Hotel?, ",NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g1568668-d21093458-Reviews-The_One_Hotel-Ca_Mau_Ca_Mau_Province_Mekong_Delta.html
"73 Phan Ngoc Hien, Ca Mau Vietnam",NA,NA,NA,,,Song Kim Hotel,Ca Mau Province,Vietnam,"Vietnam,Mekong Delta,Ca Mau Province","Which popular attractions are close to Song Kim Hotel?, ,What are some of the property amenities at Song Kim Hotel?, ",NA,NA,NA,NA,NA,NA,NA,19,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g1568668-d10351397-Reviews-Song_Kim_Hotel-Ca_Mau_Ca_Mau_Province_Mekong_Delta.html
"Number 4-6, 256, Ngo Gia Tu St. Bac Son, Thanh Binh Ward, Ninh Binh 84.030 Vietnam",4,52,NA,,,New Queen Mini Hotel,Ninh Binh,Vietnam,"Vietnam,Ninh Binh Province,Ninh Binh","Which popular attractions are close to New Queen Mini Hotel?, ,What are some of the property amenities at New Queen Mini Hotel?, ,What food & drink options are available at New Queen Mini Hotel?, ,Is parking available at New Queen Mini Hotel?, ,What are some restaurants close to New Queen Mini Hotel?, ,Does New Queen Mini Hotel have airport transportation?, ,Is New Queen Mini Hotel located near the city center?, ",NA,116,#52 of 106 B&Bs / Inns in Ninh Binh,30,NA,50,Average,23,Budget,,NA,https://www.tripadvisor.com/Hotel_Review-g303945-d2244758-Reviews-New_Queen_Mini_Hotel-Ninh_Binh_Ninh_Binh_Province.html
"69 Tran Dang Ninh, Group 3, Thanh Binh Ward, Dien Bien Phu Vietnam",2,43,NA,Vietnamese,,May Hong Guest House,Dien Bien Phu,Vietnam,"Vietnam,Dien Bien Province,Dien Bien Phu","Which popular attractions are close to May Hong Guest House?, ,What are some of the property amenities at May Hong Guest House?, ,Is parking available at May Hong Guest House?, ,What are some restaurants close to May Hong Guest House?, ",NA,NA,NA,NA,NA,10,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g662329-d11700942-Reviews-May_Hong_Guest_House-Dien_Bien_Phu_Dien_Bien_Province.html
"No.23 Hamlet 2 Phan Boi Chau, Ward 7, Ca Mau Vietnam",NA,NA,NA,,,Quoc Nam Hotel,Ca Mau Province,Vietnam,"Vietnam,Mekong Delta,Ca Mau Province","Which popular attractions are close to Quoc Nam Hotel?, ,What are some restaurants close to Quoc Nam Hotel?, ",NA,1,#7 of 15 B&Bs / Inns in Ca Mau,10,NA,NA,Terrible,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g1568668-d7211836-Reviews-Quoc_Nam_Hotel-Ca_Mau_Ca_Mau_Province_Mekong_Delta.html
"So 22A To 7 Phuong Thanh Binh, Dien Bien Phu 007106 Vietnam",NA,NA,NA,,,Nha Nghi Homestay Muong Then,$53,$53,"$53, - ,$53","Which popular attractions are close to Nha Nghi Homestay Muong Then?, ,What are some restaurants close to Nha Nghi Homestay Muong Then?, ",NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g662329-d23346766-Reviews-Nha_Nghi_Homestay_Muong_Then-Dien_Bien_Phu_Dien_Bien_Province.html
"17 Thien My, Phuong 4, Da Lat 670000 Vietnam",3,74,NA,,,Villa Suoi Mua Xuan,Da Lat,Vietnam,"Vietnam,Lam Dong Province,Da Lat","Which popular attractions are close to Villa Suoi Mua Xuan?, ,What are some restaurants close to Villa Suoi Mua Xuan?, ,Is Villa Suoi Mua Xuan located near the city center?, ",NA,NA,NA,NA,NA,29,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g293922-d23358355-Reviews-Villa_Suoi_Mua_Xuan-Da_Lat_Lam_Dong_Province.html
"Ca_u Pa_ Uon, Son La Vietnam",NA,NA,NA,,,Trung Kien Hotel,$18,$17,"$17, - ,$18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g1490567-d23304546-Reviews-Trung_Kien_Hotel-Son_La_Son_La_Province.html
"Khau Co Pass, Than Uyen Town, Sapa Vietnam",NA,NA,NA,Vietnamese,,Hien Khoa Guesthouse,Sapa,Vietnam,"Vietnam,Lao Cai Province,Sapa","What are some of the property amenities at Hien Khoa Guesthouse?, ,Is parking available at Hien Khoa Guesthouse?, ",NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g311304-d13332955-Reviews-Hien_Khoa_Guesthouse-Sapa_Lao_Cai_Province.html
"3 Phan Ngoc Nhan, street, Hoi An Vietnam",8,45,39,"English, Vietnamese",,Melody Boutique Villa,$18,$10,"$10, - ,$18","Which popular attractions are close to Melody Boutique Villa?, ,What are some of the property amenities at Melody Boutique Villa?, ,Which room amenities are available at Melody Boutique Villa?, ,What food & drink options are available at Melody Boutique Villa?, ,Is parking available at Melody Boutique Villa?, ,What are some restaurants close to Melody Boutique Villa?, ,Does Melody Boutique Villa have airport transportation?, ,Are any cleaning services offered at Melody Boutique Villa?, ,Which languages are spoken by the staff at Melody Boutique Villa?, ,Are there any historical sites close to Melody Boutique Villa?, ",18,117,#57 of 399 Specialty lodging in Hoi An,45,NA,21,Excellent,9,"Business,Charming",,3,https://www.tripadvisor.com/Hotel_Review-g298082-d13530049-Reviews-Melody_Boutique_Villa-Hoi_An_Quang_Nam_Province.html
"Khu Do Thi Pom La Xa Thanh Xuong, Huyen Dien Bien, Tinh Dien Bien Khu Do Thi Pom La, Xa Thanh Xuong, Huyen Dien Bien, Tinh Dien Bien, Dien Bien Phu Vietnam",NA,NA,NA,,,Hotel Pomla,Dien Bien Phu,Vietnam,"Vietnam,Dien Bien Province,Dien Bien Phu","Which popular attractions are close to Hotel Pomla?, ,What are some restaurants close to Hotel Pomla?, ",NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g662329-d17674813-Reviews-Hotel_Pomla-Dien_Bien_Phu_Dien_Bien_Province.html
"03 Hung Vuong, Tu An, Buon Ma Thuot Vietnam",3,77,NA,,,Buon Ma Thuot Hotel,Buon Ma Thuot,Vietnam,"Vietnam,Dak Lak Province,Buon Ma Thuot","Which popular attractions are close to Buon Ma Thuot Hotel?, ,What are some restaurants close to Buon Ma Thuot Hotel?, ",NA,NA,NA,NA,NA,17,NA,50,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g670918-d21106127-Reviews-Buon_Ma_Thuot_Hotel-Buon_Ma_Thuot_Dak_Lak_Province.html
"18 Nguy_n Du, Buon Ma Thuot Vietnam",4,69,NA,,,NHA NGHI PHU LOAN,Buon Ma Thuot,Vietnam,"Vietnam,Dak Lak Province,Buon Ma Thuot","Which popular attractions are close to NHÀ NGHĨ PHÚ LOAN?, ,What are some restaurants close to NHÀ NGHĨ PHÚ LOAN?, ",NA,NA,NA,NA,NA,34,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g670918-d21420269-Reviews-NHA_NGHI_PHU_LOAN-Buon_Ma_Thuot_Dak_Lak_Province.html
"151 Y Jut, Buon Ma Thuot Vietnam",3,75,NA,,,Bao Huy Hotel,Buon Ma Thuot,Vietnam,"Vietnam,Dak Lak Province,Buon Ma Thuot","Which popular attractions are close to Bao Huy Hotel?, ,What are some restaurants close to Bao Huy Hotel?, ",NA,NA,NA,NA,NA,18,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g670918-d17595577-Reviews-Bao_Huy_Hotel-Buon_Ma_Thuot_Dak_Lak_Province.html
"679 Vo Nguyen Giap Group 8, Tan Thanh Ward, Dien Bien Phu Vietnam",NA,NA,NA,,,Nong Nghiep Dien Bien Hotel,Dien Bien Phu,Vietnam,"Vietnam,Dien Bien Province,Dien Bien Phu","Which popular attractions are close to Nong Nghiep Dien Bien Hotel?, ,What are some of the property amenities at Nong Nghiep Dien Bien Hotel?, ,Is parking available at Nong Nghiep Dien Bien Hotel?, ,What are some restaurants close to Nong Nghiep Dien Bien Hotel?, ",NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g662329-d11029212-Reviews-Nong_Nghiep_Dien_Bien_Hotel-Dien_Bien_Phu_Dien_Bien_Province.html
"14/10 Ben Nghe, Hue 530000 Vietnam",25,93,19,"English, Vietnamese",,Eva Homestay,$15,$10,"$10, - ,$15","Which popular attractions are close to Eva Homestay?, ,What are some of the property amenities at Eva Homestay?, ,What food & drink options are available at Eva Homestay?, ,What are some restaurants close to Eva Homestay?, ,Does Eva Homestay have airport transportation?, ,Are any cleaning services offered at Eva Homestay?, ,Which languages are spoken by the staff at Eva Homestay?, ",10,117,#1 of 183 B&Bs / Inns in Hue,50,20,183,Excellent,6,"Family,Charming",,3,https://www.tripadvisor.com/Hotel_Review-g293926-d14821490-Reviews-Eva_Homestay-Hue_Thua_Thien_Hue_Province.html
"107 Buon Ja, 630000 Vietnam",13,41,NA,,,"Nha nghi, homstay Chu Yang Sin",NA,Vietnam,"Vietnam,Dak Lak Province","Which popular attractions are close to Nha nghi, homstay Chu Yang Sin?, ",NA,NA,NA,NA,NA,75,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g1633422-d23192698-Reviews-Nha_nghi_homstay_Chu_Yang_Sin-Dak_Lak_Province.html
"423 Le Duan, P. Ea Tam, Buon Ma Thuot Vietnam",NA,NA,NA,,,Phuong Dung Hotel,Buon Ma Thuot,Vietnam,"Vietnam,Dak Lak Province,Buon Ma Thuot","Which popular attractions are close to Phuong Dung Hotel?, ",NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g670918-d21161250-Reviews-Phuong_Dung_Hotel-Buon_Ma_Thuot_Dak_Lak_Province.html
"Nguyen Chi Thanh, Buon Ma Thuot Vietnam",NA,NA,NA,,,Daklak Memory HomeStay - The Ede house,Buon Ma Thuot,Vietnam,"Vietnam,Dak Lak Province,Buon Ma Thuot","Which popular attractions are close to Daklak Memory HomeStay - The Ede house?, ,What are some of the property amenities at Daklak Memory HomeStay - The Ede house?, ,What food & drink options are available at Daklak Memory HomeStay - The Ede house?, ,Is parking available at Daklak Memory HomeStay - The Ede house?, ,What are some restaurants close to Daklak Memory HomeStay - The Ede house?, ",NA,NA,NA,NA,NA,NA,NA,8,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g670918-d20284309-Reviews-Daklak_Memory_HomeStay_The_Ede_house-Buon_Ma_Thuot_Dak_Lak_Province.html
"117 Nguyen Van Cu, Buon Ma Thuot Vietnam",NA,NA,NA,Vietnamese,,Thanh Ngoc Hotel,Buon Ma Thuot,Vietnam,"Vietnam,Dak Lak Province,Buon Ma Thuot","Which popular attractions are close to Thanh Ngoc Hotel?, ,What are some of the property amenities at Thanh Ngoc Hotel?, ,Is parking available at Thanh Ngoc Hotel?, ,What are some restaurants close to Thanh Ngoc Hotel?, ",NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g670918-d4402778-Reviews-Thanh_Ngoc_Hotel-Buon_Ma_Thuot_Dak_Lak_Province.html
